,Open Time,Open Price,High Price,Low Price,Close price,Volume,Close Time
0,1626739200000,2479.73000000,2509.99000000,2472.05000000,2484.85000000,63.08172000,1626740999999
1,1626741000000,2484.84000000,2491.84000000,2471.00000000,2471.00000000,97.06067000,1626742799999
2,1626742800000,2471.01000000,2471.57000000,2429.12000000,2439.09000000,256.06407000,1626744599999
3,1626744600000,2432.07000000,2442.03000000,2430.01000000,2434.02000000,86.82978000,1626746399999
4,1626746400000,2435.61000000,2442.62000000,2401.00000000,2407.88000000,95.38245000,1626748199999
5,1626748200000,2403.78000000,2408.24000000,2386.00000000,2389.47000000,149.26524000,1626749999999
6,1626750000000,2389.11000000,2396.40000000,2351.16000000,2363.13000000,228.51252000,1626751799999
7,1626751800000,2363.27000000,2377.57000000,2358.11000000,2365.00000000,159.97965000,1626753599999
8,1626753600000,2367.08000000,2373.39000000,2361.00000000,2365.05000000,172.55300000,1626755399999
9,1626755400000,2362.89000000,2398.88000000,2359.63000000,2380.70000000,122.75133000,1626757199999
10,1626757200000,2379.33000000,2392.97000000,2378.00000000,2392.97000000,137.77355000,1626758999999
11,1626759000000,2392.34000000,2399.82000000,2380.00000000,2398.55000000,123.22440000,1626760799999
12,1626760800000,2397.27000000,2400.00000000,2391.74000000,2393.20000000,52.43955000,1626762599999
13,1626762600000,2398.27000000,2411.44000000,2396.77000000,2408.61000000,68.55965000,1626764399999
14,1626764400000,2408.07000000,2420.91000000,2405.06000000,2408.12000000,83.69246000,1626766199999
15,1626766200000,2409.96000000,2418.02000000,2407.53000000,2411.46000000,51.67576000,1626767999999
16,1626768000000,2413.46000000,2414.20000000,2392.76000000,2400.00000000,103.82754000,1626769799999
17,1626769800000,2402.02000000,2402.02000000,2373.95000000,2374.63000000,37.64173000,1626771599999
18,1626771600000,2374.83000000,2390.14000000,2374.56000000,2377.91000000,49.44801000,1626773399999
19,1626773400000,2376.69000000,2379.68000000,2355.00000000,2366.92000000,137.57158000,1626775199999
20,1626775200000,2366.43000000,2396.86000000,2362.14000000,2392.26000000,124.46869000,1626776999999
21,1626777000000,2390.01000000,2407.74000000,2385.85000000,2402.26000000,90.75612000,1626778799999
22,1626778800000,2403.14000000,2415.90000000,2386.52000000,2386.52000000,99.12201000,1626780599999
23,1626780600000,2391.50000000,2406.09000000,2390.48000000,2400.49000000,38.19305000,1626782399999
24,1626782400000,2400.89000000,2410.00000000,2393.78000000,2395.56000000,50.02311000,1626784199999
25,1626784200000,2393.80000000,2413.34000000,2390.27000000,2403.69000000,39.18791000,1626785999999
26,1626786000000,2403.76000000,2407.47000000,2381.95000000,2393.06000000,29.11849000,1626787799999
27,1626787800000,2383.88000000,2391.04000000,2382.62000000,2385.29000000,21.18694000,1626789599999
28,1626789600000,2386.77000000,2417.77000000,2375.43000000,2403.40000000,96.61324000,1626791399999
29,1626791400000,2410.59000000,2416.49000000,2395.04000000,2416.45000000,29.39449000,1626793199999
30,1626793200000,2420.00000000,2479.99000000,2412.80000000,2479.99000000,62.77757000,1626794999999
31,1626795000000,2475.87000000,2475.87000000,2452.83000000,2470.00000000,36.57672000,1626796799999
32,1626796800000,2472.20000000,2488.01000000,2444.95000000,2450.02000000,96.33993000,1626798599999
33,1626798600000,2454.47000000,2454.47000000,2433.58000000,2433.58000000,25.60590000,1626800399999
34,1626800400000,2433.69000000,2441.20000000,2428.48000000,2438.81000000,21.65880000,1626802199999
35,1626802200000,2436.99000000,2440.21000000,2431.89000000,2434.60000000,7.40455000,1626803999999
36,1626804000000,2436.78000000,2450.96000000,2434.03000000,2449.47000000,14.19221000,1626805799999
37,1626805800000,2448.63000000,2452.41000000,2442.73000000,2445.26000000,42.57525000,1626807599999
38,1626807600000,2450.10000000,2459.80000000,2444.54000000,2458.36000000,9.52891000,1626809399999
39,1626809400000,2449.05000000,2451.98000000,2437.77000000,2437.77000000,9.96536000,1626811199999
40,1626811200000,2447.82000000,2462.08000000,2446.54000000,2458.62000000,36.48557000,1626812999999
41,1626813000000,2458.52000000,2459.82000000,2445.97000000,2450.65000000,32.31693000,1626814799999
42,1626814800000,2449.67000000,2456.61000000,2431.63000000,2431.63000000,35.98678000,1626816599999
43,1626816600000,2432.97000000,2441.66000000,2427.59000000,2436.36000000,57.37128000,1626818399999
44,1626818400000,2433.17000000,2442.88000000,2431.29000000,2431.85000000,23.38042000,1626820199999
45,1626820200000,2434.94000000,2434.94000000,2407.38000000,2417.85000000,52.29806000,1626821999999
46,1626822000000,2417.85000000,2440.00000000,2416.27000000,2434.60000000,17.71985000,1626823799999
47,1626823800000,2439.48000000,2446.66000000,2430.00000000,2435.54000000,13.92041000,1626825599999
48,1626825600000,2440.83000000,2450.64000000,2423.94000000,2429.00000000,14.83283000,1626827399999
49,1626827400000,2430.39000000,2430.39000000,2409.00000000,2413.22000000,12.59973000,1626829199999
50,1626829200000,2413.07000000,2426.97000000,2395.74000000,2414.59000000,69.54301000,1626830999999
51,1626831000000,2415.00000000,2428.80000000,2415.00000000,2427.69000000,67.26658000,1626832799999
52,1626832800000,2426.03000000,2447.39000000,2425.00000000,2437.68000000,64.11349000,1626834599999
53,1626834600000,2440.00000000,2464.58000000,2440.00000000,2458.06000000,49.91778000,1626836399999
54,1626836400000,2460.15000000,2467.16000000,2452.50000000,2460.50000000,58.17994000,1626838199999
55,1626838200000,2462.92000000,2476.00000000,2460.64000000,2469.54000000,80.58787000,1626839999999
56,1626840000000,2472.00000000,2537.67000000,2470.03000000,2528.76000000,187.81691000,1626841799999
57,1626841800000,2537.99000000,2564.00000000,2531.69000000,2552.73000000,108.93767000,1626843599999
58,1626843600000,2554.49000000,2555.75000000,2536.81000000,2554.04000000,117.42483000,1626845399999
59,1626845400000,2554.22000000,2557.03000000,2544.00000000,2549.91000000,36.00151000,1626847199999
60,1626847200000,2549.99000000,2564.00000000,2549.32000000,2564.00000000,36.23813000,1626848999999
61,1626849000000,2562.25000000,2580.00000000,2557.01000000,2578.22000000,66.14503000,1626850799999
62,1626850800000,2580.00000000,2581.97000000,2562.86000000,2574.10000000,105.94308000,1626852599999
63,1626852600000,2573.39000000,2573.63000000,2554.56000000,2566.13000000,60.32914000,1626854399999
64,1626854400000,2572.60000000,2579.99000000,2550.79000000,2555.08000000,39.39971000,1626856199999
65,1626856200000,2558.92000000,2564.43000000,2555.08000000,2559.79000000,31.17929000,1626857999999
66,1626858000000,2559.92000000,2565.77000000,2552.28000000,2558.84000000,29.42288000,1626859799999
67,1626859800000,2560.17000000,2600.00000000,2556.66000000,2592.81000000,68.02296000,1626861599999
68,1626861600000,2593.39000000,2619.62000000,2586.01000000,2601.82000000,124.38136000,1626863399999
69,1626863400000,2601.76000000,2605.00000000,2594.00000000,2605.00000000,116.02527000,1626865199999
70,1626865200000,2605.00000000,2609.00000000,2596.97000000,2605.80000000,60.05705000,1626866999999
71,1626867000000,2604.00000000,2618.23000000,2604.00000000,2615.70000000,46.37642000,1626868799999
72,1626868800000,2614.96000000,2623.91000000,2602.09000000,2623.91000000,76.52767000,1626870599999
73,1626870600000,2621.97000000,2622.59000000,2595.79000000,2598.32000000,159.03733000,1626872399999
74,1626872400000,2599.32000000,2603.45000000,2586.54000000,2597.64000000,53.84564000,1626874199999
75,1626874200000,2596.09000000,2607.50000000,2571.98000000,2597.90000000,173.79695000,1626875999999
76,1626876000000,2600.00000000,2641.08000000,2599.68000000,2624.43000000,107.79025000,1626877799999
77,1626877800000,2625.46000000,2648.10000000,2618.48000000,2639.36000000,51.34712000,1626879599999
78,1626879600000,2639.52000000,2654.76000000,2630.32000000,2651.68000000,30.73867000,1626881399999
79,1626881400000,2653.50000000,2661.24000000,2639.11000000,2656.54000000,28.34247000,1626883199999
